earnings_date,fiscal_quarter,release_timing,actual_eps,consensus_eps,actual_revenue_bn,consensus_revenue_bn
2020-05-21,FY21Q1,after_close,1.80,1.69,3.08,2.99
2020-08-19,FY21Q2,after_close,2.18,1.96,3.87,3.64
2020-11-18,FY21Q3,after_close,2.91,2.58,4.73,4.42
2021-02-24,FY21Q4,after_close,3.10,2.81,5.00,4.82
2021-05-26,FY22Q1,after_close,3.66,3.28,5.66,5.41
2021-08-18,FY22Q2,after_close,1.04,1.02,6.51,6.33
2021-11-17,FY22Q3,after_close,1.17,1.11,7.10,6.82
2022-02-16,FY22Q4,after_close,1.32,1.22,7.64,7.42
2022-05-25,FY23Q1,after_close,1.36,1.30,8.29,8.11
2022-08-24,FY23Q2,after_close,0.51,1.26,6.70,8.10
2022-11-16,FY23Q3,after_close,0.58,0.71,5.93,5.79
2023-02-22,FY23Q4,after_close,0.88,0.81,6.05,6.02
2023-05-24,FY24Q1,after_close,1.09,0.92,7.19,6.52
2023-08-23,FY24Q2,after_close,2.70,2.09,13.51,11.04
2023-11-21,FY24Q3,after_close,4.02,3.37,18.12,16.18
2024-02-21,FY24Q4,after_close,5.16,4.64,22.10,20.41
2024-05-22,FY25Q1,after_close,6.12,5.59,26.04,24.65
2024-08-28,FY25Q2,after_close,0.68,0.64,30.04,28.86
2024-11-20,FY25Q3,after_close,0.81,0.75,35.08,33.25
2025-02-26,FY25Q4,after_close,0.89,0.84,39.33,38.08
2025-05-28,FY26Q1,after_close,0.96,0.88,44.06,43.31
2025-08-27,FY26Q2,after_close,1.05,0.99,46.74,45.89
2025-11-19,FY26Q3,after_close,1.14,1.08,51.24,50.15
2026-02-25,FY26Q4,after_close,1.22,1.15,55.72,54.40
