fiscal_quarter,earnings_date,next_day,e_pm_vol,e_after_vol,n_pre_vol,n_open1h_vol,n_rth_vol,n_after_vol,total_chain,e_after_share,n_pre_share,n_open1h_share,n_rth_share,n_after_share
FY21Q1,2020-05-21,2020-05-22,6936726.0,2375433.0,711558.0,10555795.0,24515744.0,106177.0,27708912.0,8.572812241779829,2.56797524204487,38.09530666523464,88.47602533076723,0.3831871854080738
FY21Q2,2020-08-19,2020-08-20,6079729.0,2627766.0,525616.0,9495653.0,21826776.0,160380.0,25140538.0,10.452306151920855,2.0907110261522646,37.77028558418281,86.81904897977918,0.6379338421476899
FY21Q3,2020-11-18,2020-11-19,4075705.0,2828961.0,361998.0,4879649.0,12941667.0,164522.0,16297148.0,17.358626184164248,2.2212352738037353,29.941735817825304,79.41062448472579,1.0095140573062231
FY21Q4,2021-02-24,2021-02-25,4315782.0,2077971.0,441507.0,4439503.0,18629315.0,517400.0,21666193.0,9.590845055243438,2.0377691641535733,20.490461799172564,85.98333357410782,2.3880522064951606
FY22Q1,2021-05-26,2021-05-27,2975813.0,1440026.0,382485.0,4342955.0,11763021.0,1094917.0,14680449.0,9.80914139615212,2.605403962780702,29.583257296830634,80.12712009012803,7.458334550939144
FY22Q2,2021-08-18,2021-08-19,11163763.0,3780476.0,1110910.0,14540477.0,72240883.0,819232.0,77951501.0,4.849779608477327,1.4251297098179034,18.6532354264737,92.67413978340198,1.0509508983027793
FY22Q3,2021-11-17,2021-11-18,16245281.0,5608008.0,3466982.0,30120002.0,71991161.0,574490.0,81640641.0,6.869137639426423,4.246637406974793,36.89339234854856,88.18054356040639,0.703681393192393
FY22Q4,2022-02-16,2022-02-17,31330913.0,7554334.0,2094196.0,24744215.0,75272161.0,1280130.0,86200821.0,8.763645070155421,2.4294385780850045,28.705312447082143,87.32186089039685,1.4850554613627172
FY23Q1,2022-05-25,2022-05-26,28126044.0,9618772.0,2939833.0,31265966.0,92275042.0,1189980.0,106023627.0,9.072291028112064,2.7728093097588524,29.489621214335553,87.03252719320761,1.1223724689214791
FY23Q2,2022-08-24,2022-08-25,16038055.0,6594923.0,2112339.0,24727354.0,72841217.0,471650.0,82020129.0,8.040615249459067,2.575390975061744,30.147909179708797,88.80895200737858,0.5750417681006086
FY23Q3,2022-11-16,2022-11-17,20824703.0,8433898.0,2205088.0,21458092.0,66701752.0,723326.0,78064064.0,10.803816209209913,2.8247158641394843,27.487797714451556,85.44488793204515,0.9265799946054565
FY23Q4,2023-02-22,2023-02-23,16776145.0,9040777.0,6349140.0,39564802.0,102282446.0,997524.0,118669887.0,7.618425557277223,5.350253683143728,33.34022050598228,86.19073345877544,0.8405873008036149
FY24Q1,2023-05-24,2023-05-25,21859162.0,22345116.0,11721322.0,52563636.0,136452515.0,3212021.0,173730974.0,12.861906823822908,6.746823396039902,30.255765445717238,78.54242214747498,1.84884763266221
FY24Q2,2023-08-23,2023-08-24,22802991.0,18578262.0,5090974.0,37325439.0,105228184.0,2896479.0,131793899.0,14.096450701409175,3.8628297960894233,28.321067426649243,79.84298575156352,2.1977337509378945
FY24Q3,2023-11-21,2023-11-22,15882791.0,10213949.0,4049974.0,30355624.0,83248389.0,554522.0,98066834.0,10.41529392087849,4.129810084416511,30.954016523058144,84.88944284670187,0.5654531480031261
FY24Q4,2024-02-21,2024-02-22,23434652.0,14954235.0,6520789.0,32241124.0,74475599.0,2777928.0,98728551.0,15.146819079720922,6.604765221359321,32.65633261446327,75.43471290285623,2.8137027960635215
FY25Q1,2024-05-22,2024-05-23,19279067.0,12971419.0,3797402.0,24495957.0,75477309.0,1120070.0,93366200.0,13.893056587930108,4.067212760078058,26.23642924313081,80.84007810106868,1.1996525509231393
FY25Q2,2024-08-28,2024-08-29,129261126.0,83909192.0,26226794.0,134862010.0,392113346.0,6623690.0,508873022.0,16.48921997676662,5.153897508050643,26.502094662035358,77.05524345914333,1.3016390560394062
FY25Q3,2024-11-20,2024-11-21,86594237.0,54234404.0,27249049.0,134041664.0,347351121.0,5023975.0,433858549.0,12.500480657809973,6.280629726625486,30.895245537734006,80.06091427738583,1.1579753381787115
FY25Q4,2025-02-26,2025-02-27,116652268.0,46350510.0,20031724.0,119559627.0,376352227.0,12326074.0,455060535.0,10.185570146178465,4.401991044993607,26.27334558906542,82.70377192783813,2.7086668809898007
FY26Q1,2025-05-28,2025-05-29,106335364.0,73973651.0,21444086.0,128020707.0,328413986.0,6187266.0,430018989.0,17.20241498451595,4.986776525815236,29.770942743181976,76.3719729595476,1.438835530121206
FY26Q2,2025-08-27,2025-08-28,60508039.0,46655540.0,18110526.0,97045524.0,240498410.0,3301633.0,308566109.0,15.12011158684961,5.8692531265642005,31.450480519232915,77.94064318320844,1.0699921033777562
FY26Q3,2025-11-19,2025-11-20,71079992.0,47661986.0,14287873.0,75929293.0,304419450.0,8623509.0,374992818.0,12.710106357290288,3.81017243908922,20.248199260178897,81.18007476079183,2.299646442828673
FY26Q4,2026-02-25,2026-02-26,67776305.0,20805351.0,9717963.0,112148100.0,323226861.0,4082604.0,357832779.0,5.814266389496978,2.7157833407989713,31.340924191855546,90.32902516736735,1.140925102336698
